property_type,count,percentage
Train station - concourse,12,0.03943736032601551
Tunnel/ subway,11,0.036150913632180884
Animal harm outdoors,11,0.036150913632180884
Children's Home,11,0.036150913632180884
Barge,11,0.036150913632180884
Bakery,10,0.032864466938346264
Boarding House/B&B other,10,0.032864466938346264
Cemetery,10,0.032864466938346264
Health Centre,10,0.032864466938346264
Vehicle sales building,10,0.032864466938346264
Train on Tube network,10,0.032864466938346264
Bicycle,10,0.032864466938346264
Post office (purpose built),9,0.029578020244511633
Straw/stubble burning,9,0.029578020244511633
Concert Hall,9,0.029578020244511633
Recycling collection point/ bottle bank,9,0.029578020244511633
Veterinary surgery,8,0.02629157355067701
Unlicensed House in Multiple Occupation - 3 or more storeys,8,0.02629157355067701
Lake/pond/reservoir,8,0.02629157355067701
Sewage works,8,0.02629157355067701
Shelter,7,0.023005126856842383
Indoor Market,7,0.023005126856842383
Synagogue,7,0.023005126856842383
Telephone box,7,0.023005126856842383
Golf clubhouse,7,0.023005126856842383
Other Religious Use Building,6,0.019718680163007755
Towing caravan (not on tow or on site),6,0.019718680163007755
Other public utility works,6,0.019718680163007755
Manufacturing assembly plant,5,0.016432233469173132
Ministry of Defence office,5,0.016432233469173132
Animal boarding/breeding establishment - dogs,5,0.016432233469173132
Temporary office (eg portacabin),5,0.016432233469173132
Human harm outdoors,5,0.016432233469173132
Passenger Train (national rail network),5,0.016432233469173132
Health spa/farm,5,0.016432233469173132
Mill,5,0.016432233469173132
Other cultural venue,5,0.016432233469173132
Other outdoor sporting venue,5,0.016432233469173132
Golf course (not building on course),5,0.016432233469173132
Conference Centre,4,0.013145786775338505
Other indoor sporting venue,4,0.013145786775338505
Motor Home,4,0.013145786775338505
Landfill site,4,0.013145786775338505
Other vessel,4,0.013145786775338505
Post office (within other shop/premises),4,0.013145786775338505
Estate Agent,4,0.013145786775338505
Public toilets,4,0.013145786775338505
Post box,4,0.013145786775338505
Boarding School accommodation,4,0.013145786775338505
Railway building - other,3,0.009859340081503878
Bingo Hall,3,0.009859340081503878
Private Summer house,3,0.009859340081503878
Bulk waste storage,3,0.009859340081503878
Camping tent,3,0.009859340081503878
Other animal boarding/breeding establishment,3,0.009859340081503878
Other agricultural building,3,0.009859340081503878
Cathedral,3,0.009859340081503878
Casino,3,0.009859340081503878
Caravan/Mobile home (permanent dwelling),3,0.009859340081503878
Gas works,3,0.009859340081503878
Railway goods yard,3,0.009859340081503878
Military/barracks,3,0.009859340081503878
Airport - hangar,3,0.009859340081503878
Rugby Stadium,3,0.009859340081503878
Chemical plant,2,0.006572893387669252
Greyhound stadium,2,0.006572893387669252
Motor yacht,2,0.006572893387669252
Minibus,2,0.006572893387669252
Other tent/marquee,2,0.006572893387669252
Bulk gas storage,2,0.006572893387669252
Bulk hazardous materials storage,2,0.006572893387669252
Underground train : Other system,2,0.006572893387669252
Zoo,2,0.006572893387669252
Bulk oil storage,2,0.006572893387669252
Distillery plant,2,0.006572893387669252
Towing caravan/Camper van on site,2,0.006572893387669252
Temple,2,0.006572893387669252
Cricket ground,2,0.006572893387669252
Young offenders unit,2,0.006572893387669252
Trailer (not attached to tractor unit),2,0.006572893387669252
Animal products processing plant,2,0.006572893387669252
Agricultural vehicle,2,0.006572893387669252
Standing crop,2,0.006572893387669252
Other transport building,2,0.006572893387669252
Indoor stadium,2,0.006572893387669252
Caravan on tow,1,0.003286446693834626
Barn,1,0.003286446693834626
Airfield/runway,1,0.003286446693834626
Athletics Stadium,1,0.003286446693834626
Mosque,1,0.003286446693834626
Nurseries/ market garden,1,0.003286446693834626
Tennis Courts,1,0.003286446693834626
Theme Park,1,0.003286446693834626
Freight plane,1,0.003286446693834626
Large passenger vessel,1,0.003286446693834626
Animal boarding/breeding establishment - cats,1,0.003286446693834626
Kiosk,1,0.003286446693834626
Trains - engine shed,1,0.003286446693834626
Private greenhouse,1,0.003286446693834626
Road Tanker,1,0.003286446693834626
Intensive Farming Sheds (chickens/ pigs etc),1,0.003286446693834626
Stacked/baled crop,1,0.003286446693834626
Freight Train,1,0.003286446693834626
Houseboat (permanent dwelling),1,0.003286446693834626
